Nombre, Annee
3,1978
2,1978
4,1978
3,1978
2,1978
3,1978
2,1978
3,1978
2,1978
2,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
2,1978
2,1978
3,1978
3,1978
2,198
1,198
2,198
2,198
2,198
2,198
5,198
4,198
4,198
4,198
4,198
4,198
4,198
4,198
4,198
2,198
2,198
2,198
4,198
4,198
4,198
4,198
2,198
2,198
4,198
4,198
3,198
3,198
4,198
4,198
4,198
3,198
4,198
4,198
4,198
4,198
4,198
2,198
2,198
4,198
4,198
3,1978
3,1978
4,1978
5,1978
3,1978
5,1978
3,1978
3,1978
4,1978
3,1978
5,1978
4,1978
4,1978
4,1978
3,1978
5,1978
5,1978
3,1978
3,1978
5,1978
3,1978
3,1978
3,1978
4,1978
3,1978
5,1978
4,1978
4,1978
3,1978
4,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,198
3,198
3,198
4,198
3,198
4,198
3,198
3,198
3,198
3,198
3,198
3,198
3,198
3,198
3,198
5,198
4,198
4,198
4,198
4,198
3,198
4,198
3,198
3,198
3,198
3,198
4,198
4,198
3,198
3,198
3,198
3,198
3,198
4,198
4,198
4,198
4,198
3,198
3,198
4,198
3,1978
3,1978
3,1978
3,1978
4,1978
4,1978
4,1978
3,1978
4,1978
4,1978
2,1978
3,1978
3,1978
3,1978
3,1978
3,1978
4,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
4,1978
4,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
3,1978
4,1978
3,198
2,198
4,198
4,198
4,198
4,198
4,198
2,198
2,198
2,198
4,198
2,198
4,198
3,198
5,198
3,198
4,198
2,198
4,198
3,198
2,198
3,198
2,198
4,198
4,198
4,198
5,198
3,198
3,198
2,198
4,198
3,198
2,198
5,198
3,198
4,198
3,198
4,198
2,198
