Type_logement,Nombre_pieces,Etages, Surface_Reelle, Annee_Construction, DP_consommation_reelle
"T3,""3"",""00"",""50"",""1960"",""165"""
"T2,""2"",""02"",""38"",""1960"",""165"""
"T3,""3"",""03"",""50"",""1960"",""165"""
"T3,""3"",""01"",""50"",""1960"",""165"""
"T4,""4"",""00"",""81"",""1960"",""165"""
"T5,""5"",""04"",""73"",""1960"",""165"""
"T6,""6"",""01"",""82"",""1960"",""165"""
"T5,""5"",""00"",""73"",""1960"",""165"""
"T5,""5"",""03"",""73"",""1960"",""165"""
"T5,""5"",""01"",""73"",""1960"",""165"""
"T6,""6"",""02"",""82"",""1960"",""165"""
"T6,""6"",""04"",""82"",""1960"",""165"""
"T5,""5"",""02"",""73"",""1960"",""165"""
"T6,""6"",""03"",""82"",""1960"",""165"""
"T5,""5"",""00"",""76"",""1960"",""165"""
"T5,""5"",""01"",""76"",""1960"",""165"""
"T4,""4"",""01"",""59"",""1962"",""165"""
"T4,""4"",""03"",""59"",""1962"",""165"""
"T4,""4"",""02"",""59"",""1962"",""165"""
"T5,""5"",""04"",""74"",""1962"",""165"""
"T5,""5"",""03"",""74"",""1962"",""165"""
"T5,""5"",""02"",""74"",""1962"",""165"""
"T4,""4"",""00"",""59"",""1962"",""165"""
"T1,""1"",""00"",""21"",""1962"","
"T3,""3"",""00"",""50"",""1962"",""165"""
"T4,""4"",""04"",""59"",""1962"",""165"""
"T5,""5"",""01"",""74"",""1962"",""165"""
"T3,""3"",""02"",""50"",""1962"",""165"""
"T3,""3"",""01"",""50"",""1962"",""165"""
"T3,""3"",""04"",""50"",""1962"",""165"""
"T4,""4"",""02"",""59"",""1962"",""165"""
"T3,""3"",""03"",""50"",""1962"",""165"""
"T4,""4"",""00"",""59"",""1962"",""165"""
"T4,""4"",""01"",""59"",""1962"",""165"""
"T4,""4"",""03"",""59"",""1962"",""165"""
"T4,""4"",""04"",""59"",""1962"",""165"""
"T3,""3"",""00"",""50"",""1962"",""165"""
"T3,""3"",""00"",""50"",""1962"",""165"""
"T4,""4"",""01"",""59"",""1962"",""165"""
