ref,lat,lng,statut
8303,49.50370410,0.20410970,
8086,49.50381540,0.20308110,
12229,49.50384370,0.12633430,
22275,49.50389540,0.12629160,
8088,49.50391270,0.20200570,
8241,49.50394000,0.20219240,
22296,49.50406640,0.12618080,
11256,49.50422200,0.11843230,1
10519,49.50423190,0.11173040,
11280,49.50431010,0.11845790,
7968,49.50440080,0.20240710,1
5279,49.50440100,0.16336670,
7937,49.50452310,0.20273310,
3538,49.50455060,0.14344290,1
10511,49.50462430,0.13881290,
12010,49.50469490,0.12539130,
13280,49.50471430,0.10357810,
7740,49.50488530,0.20350360,
7008,49.50489690,0.18260740,1
7042,49.50493580,0.18236540,
7032,49.50498590,0.18213300,
